province,party_code,party_name,party_scope,comparable_to_dpr,dprd_provincial_seats,dprd_provincial_seat_share,dpr_estimated_seats,dpr_estimated_seat_share,dpr_total_votes,dpr_vote_share,dprd_minus_dpr_vote_share,dprd_minus_dpr_seat_share
Jawa Tengah,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,148895,0.007109,-0.007109,0.000000
Jawa Tengah,Hanura,Partai Hati Nurani Rakyat,national,true,0,0.000000,0,0.000000,146358,0.006988,-0.006988,0.000000
Jawa Tengah,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,25133,0.001200,-0.001200,0.000000
Jawa Tengah,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,23371,0.001116,-0.001116,0.000000
Jawa Tengah,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,162035,0.007736,-0.007736,0.000000
Jawa Tengah,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,85528,0.004083,-0.004083,0.000000
Jawa Timur,PKB,Partai Kebangkitan Bangsa,national,true,27,0.225000,18,0.206897,4156291,0.176522,0.048478,0.018103
Jawa Timur,Gerindra,Partai Gerakan Indonesia Raya,national,true,21,0.175000,14,0.160920,3257479,0.138348,0.036652,0.014080
Jawa Timur,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,21,0.175000,19,0.218391,4062371,0.172533,0.002467,-0.043391
Jawa Timur,Golkar,Partai Golongan Karya,national,true,15,0.125000,13,0.149425,3232218,0.137275,-0.012275,-0.024425
Jawa Timur,Demokrat,Partai Demokrat,national,true,11,0.091667,6,0.068966,1621940,0.068885,0.022781,0.022701
Jawa Timur,NasDem,Partai NasDem,national,true,10,0.083333,7,0.080460,1885813,0.080092,0.003241,0.002874
Jawa Timur,PAN,Partai Amanat Nasional,national,true,5,0.041667,5,0.057471,1484944,0.063067,-0.021400,-0.015805
Jawa Timur,PKS,Partai Keadilan Sejahtera,national,true,5,0.041667,5,0.057471,1129997,0.047992,-0.006325,-0.015805
Jawa Timur,PPP,Partai Persatuan Pembangunan,national,true,4,0.033333,0,0.000000,1204062,0.051138,-0.017804,0.033333
Jawa Timur,PSI,Partai Solidaritas Indonesia,national,true,1,0.008333,0,0.000000,712635,0.030266,-0.021933,0.008333
Jawa Timur,Buruh,Partai Buruh,national,true,0,0.000000,0,0.000000,109217,0.004639,-0.004639,0.000000
Jawa Timur,Garuda,Partai Garda Republik Indonesia,national,true,0,0.000000,0,0.000000,47061,0.001999,-0.001999,0.000000
Jawa Timur,Gelora,Partai Gelombang Rakyat Indonesia,national,true,0,0.000000,0,0.000000,141857,0.006025,-0.006025,0.000000
Jawa Timur,Hanura,Partai Hati Nurani Rakyat,national,true,0,0.000000,0,0.000000,88528,0.003760,-0.003760,0.000000
Jawa Timur,PBB,Partai Bulan Bintang,national,true,0,0.000000,0,0.000000,38917,0.001653,-0.001653,0.000000
Jawa Timur,PKN,Partai Kebangkitan Nusantara,national,true,0,0.000000,0,0.000000,28856,0.001226,-0.001226,0.000000
Jawa Timur,Perindo,Partai Perindo,national,true,0,0.000000,0,0.000000,267757,0.011372,-0.011372,0.000000
Jawa Timur,Ummat,Partai Ummat,national,true,0,0.000000,0,0.000000,75566,0.003209,-0.003209,0.000000
Kalimantan Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,national,true,13,0.200000,4,0.333333,735610,0.244689,-0.044689,-0.133333
Kalimantan Barat,NasDem,Partai NasDem,national,true,10,0.153846,2,0.166667,514489,0.171137,-0.017290,-0.012821
Kalimantan Barat,Gerindra,Partai Gerakan Indonesia Raya,national,true,9,0.138462,1,0.083333,344780,0.114686,0.023776,0.055128
Kalimantan Barat,Golkar,Partai Golongan Karya,national,true,9,0.138462,2,0.166667,409076,0.136073,0.002389,-0.028205
Kalimantan Barat,Demokrat,Partai Demokrat,national,true,6,0.092308,0,0.000000,134940,0.044886,0.047422,0.092308
Kalimantan Barat,PAN,Partai Amanat Nasional,national,true,5,0.076923,1,0.083333,189531,0.063044,0.013879,-0.006410
Kalimantan Barat,PKB,Partai Kebangkitan Bangsa,national,true,5,0.076923,1,0.083333,174943,0.058192,0.018731,-0.006410
Kalimantan Barat,Hanura,Partai Hati Nurani Rakyat,national,true,4,0.061538,0,0.000000,78850,0.026228,0.035310,0.061538
Kalimantan Barat,PKS,Partai Keadilan Sejahtera,national,true,2,0.030769,1,0.083333,137253,0.045655,-0.014886,-0.052564
