province,party_code,party_name,provincial_seats,kabkot_seats,kabkot_to_provincial_ratio,ratio_defined
Jawa Timur,NasDem,Partai NasDem,10,134,13.400000,true
Jawa Timur,Buruh,Partai Buruh,0,0,,false
Jawa Timur,Gelora,Partai Gelombang Rakyat Indonesia,0,5,,false
Jawa Timur,PKS,Partai Keadilan Sejahtera,5,103,20.600000,true
Jawa Timur,PKN,Partai Kebangkitan Nusantara,0,0,,false
Jawa Timur,Hanura,Partai Hati Nurani Rakyat,0,27,,false
Jawa Timur,Garuda,Partai Garda Republik Indonesia,0,0,,false
Jawa Timur,PAN,Partai Amanat Nasional,5,74,14.800000,true
Jawa Timur,PBB,Partai Bulan Bintang,0,11,,false
Jawa Timur,Demokrat,Partai Demokrat,11,144,13.090909,true
Jawa Timur,PSI,Partai Solidaritas Indonesia,1,11,11.000000,true
Jawa Timur,Perindo,Partai Perindo,0,7,,false
Jawa Timur,PPP,Partai Persatuan Pembangunan,4,101,25.250000,true
Jawa Timur,PNA,PNA,0,0,,false
Jawa Timur,Gabthat,Gabthat,0,0,,false
Jawa Timur,PDA,PDA,0,0,,false
Jawa Timur,PA,PA,0,0,,false
Jawa Timur,PASA,PASA,0,0,,false
Jawa Timur,SIRA,SIRA,0,0,,false
Jawa Timur,Ummat,Partai Ummat,0,1,,false
Banten,PKB,Partai Kebangkitan Bangsa,10,39,3.900000,true
Banten,Gerindra,Partai Gerakan Indonesia Raya,14,50,3.571429,true
Banten,PDIP,Partai Demokrasi Indonesia Perjuangan,14,46,3.285714,true
Banten,Golkar,Partai Golongan Karya,14,67,4.785714,true
Banten,NasDem,Partai NasDem,10,40,4.000000,true
Banten,Buruh,Partai Buruh,0,0,,false
Banten,Gelora,Partai Gelombang Rakyat Indonesia,0,1,,false
Banten,PKS,Partai Keadilan Sejahtera,13,48,3.692308,true
Banten,PKN,Partai Kebangkitan Nusantara,0,0,,false
Banten,Hanura,Partai Hati Nurani Rakyat,0,0,,false
Banten,Garuda,Partai Garda Republik Indonesia,0,0,,false
Banten,PAN,Partai Amanat Nasional,7,23,3.285714,true
Banten,PBB,Partai Bulan Bintang,0,0,,false
Banten,Demokrat,Partai Demokrat,11,39,3.545455,true
Banten,PSI,Partai Solidaritas Indonesia,3,8,2.666667,true
Banten,Perindo,Partai Perindo,0,1,,false
Banten,PPP,Partai Persatuan Pembangunan,4,28,7.000000,true
Banten,PNA,PNA,0,0,,false
Banten,Gabthat,Gabthat,0,0,,false
Banten,PDA,PDA,0,0,,false
Banten,PA,PA,0,0,,false
Banten,PASA,PASA,0,0,,false
Banten,SIRA,SIRA,0,0,,false
Banten,Ummat,Partai Ummat,0,0,,false
Bali,PKB,Partai Kebangkitan Bangsa,0,3,,false
Bali,Gerindra,Partai Gerakan Indonesia Raya,10,47,4.700000,true
Bali,PDIP,Partai Demokrasi Indonesia Perjuangan,32,191,5.968750,true
Bali,Golkar,Partai Golongan Karya,7,60,8.571429,true
Bali,NasDem,Partai NasDem,2,17,8.500000,true
Bali,Buruh,Partai Buruh,0,0,,false
Bali,Gelora,Partai Gelombang Rakyat Indonesia,0,1,,false
Bali,PKS,Partai Keadilan Sejahtera,0,0,,false
Bali,PKN,Partai Kebangkitan Nusantara,0,0,,false
Bali,Hanura,Partai Hati Nurani Rakyat,0,6,,false
Bali,Garuda,Partai Garda Republik Indonesia,0,0,,false
Bali,PAN,Partai Amanat Nasional,0,0,,false
Bali,PBB,Partai Bulan Bintang,0,0,,false
Bali,Demokrat,Partai Demokrat,3,26,8.666667,true
Bali,PSI,Partai Solidaritas Indonesia,1,4,4.000000,true
Bali,Perindo,Partai Perindo,0,3,,false
Bali,PPP,Partai Persatuan Pembangunan,0,2,,false
Bali,PNA,PNA,0,0,,false
Bali,Gabthat,Gabthat,0,0,,false
Bali,PDA,PDA,0,0,,false
Bali,PA,PA,0,0,,false
Bali,PASA,PASA,0,0,,false
Bali,SIRA,SIRA,0,0,,false
Bali,Ummat,Partai Ummat,0,0,,false
Nusa Tenggara Barat,PKB,Partai Kebangkitan Bangsa,6,33,5.500000,true
Nusa Tenggara Barat,Gerindra,Partai Gerakan Indonesia Raya,10,46,4.600000,true
Nusa Tenggara Barat,PDIP,Partai Demokrasi Indonesia Perjuangan,4,27,6.750000,true
Nusa Tenggara Barat,Golkar,Partai Golongan Karya,10,52,5.200000,true
